date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,24.1,19.9,28.2,1.2,,,10.8,,1013,
2024-01-02 00:00:00,23.6,18.4,28.5,0.2,,,14.1,,1013,
2024-01-03 00:00:00,24.2,19.9,29.2,0.5,,,18.5,,1015.4,
2024-01-04 00:00:00,24.9,21.6,29.6,0,,,18.3,,1015.7,
2024-01-05 00:00:00,26.7,22.2,31.4,0.1,,,14.7,,1012.6,
2024-01-06 00:00:00,26.7,25,31.7,13.3,,,10.2,,1008.6,
2024-01-07 00:00:00,23.7,19.3,31,10.9,,,10.1,,1007.7,
2024-01-08 00:00:00,23.2,14,31.4,5.1,,,7.1,,1008.6,
2024-01-09 00:00:00,27.1,19.6,32.6,0,,,6.3,,1009.8,
2024-01-10 00:00:00,25.9,19.5,33.6,0.1,,,11,,1010,
2024-01-11 00:00:00,22.9,17.2,33.3,9.9,,,13.9,,1015.8,
2024-01-12 00:00:00,20.3,14.2,27.8,0,,,14.7,,1017.2,
2024-01-13 00:00:00,25.4,18,30.2,1.1,,,13.4,,1011.8,
2024-01-14 00:00:00,25.8,20.4,32.2,1.9,,,13.7,,1008.8,
2024-01-15 00:00:00,24.5,17,32.5,0,,,10.5,,1010.1,
2024-01-16 00:00:00,22.6,18.4,32.5,9.9,,,11.4,,1011,
2024-01-17 00:00:00,23.3,16.6,30.2,0,,,11.5,,1015.7,
2024-01-18 00:00:00,25.3,21.9,30.8,0,,,12.6,,1011.1,
2024-01-19 00:00:00,24.4,18.8,30.4,0,,,12.7,,1012.8,
2024-01-20 00:00:00,21.6,12,30.7,0,,,13.6,,1016.2,
2024-01-21 00:00:00,21.6,13,30.5,0,,,14,,1019.3,
2024-01-22 00:00:00,24,18,29,0,,,13.8,,1021.6,
2024-01-23 00:00:00,24.3,19,30,0,,,17.3,,1019.8,
2024-01-24 00:00:00,24.7,19.9,29.5,0,,,16.7,,1017.5,
2024-01-25 00:00:00,25.4,19.2,30,0,,,16,,1017.6,
2024-01-26 00:00:00,26,20.5,31.3,0,,,16.6,,1018.9,
2024-01-27 00:00:00,25.9,21,31.5,0,,,16.4,,1017.2,
2024-01-28 00:00:00,25.3,20.5,31.7,0,,,14.2,,1015.3,
2024-01-29 00:00:00,26.4,21.3,31.8,0.3,,,12.8,,1013.5,
2024-01-30 00:00:00,28.8,22.3,35,0,,,9.1,,1011.7,
2024-01-31 00:00:00,29.5,22.4,35.7,0.1,,,9.2,,1012.2,
2024-02-01 00:00:00,31.7,22.6,38.2,0,,,11.3,,1014.9,
2024-02-02 00:00:00,31.8,27.1,38.6,0,,,16.2,,1014.5,
2024-02-03 00:00:00,30.3,22.2,37.4,2.5,,,15.8,,1011,
2024-02-04 00:00:00,22.7,16.5,38.1,0,,,19.2,,1016.8,
2024-02-05 00:00:00,26,19.9,33.1,0,,,21,,1014.3,
2024-02-06 00:00:00,27.7,22,35,0,,,16.7,,1013.9,
2024-02-07 00:00:00,28.7,20.7,35.5,7.9,,,11.8,,1010.6,
2024-02-08 00:00:00,28.4,23.6,33.8,0,,,14.5,,1010.1,
2024-02-09 00:00:00,24.6,22.2,32.1,7.9,,,12.5,,1011.4,
2024-02-10 00:00:00,26.3,23.6,30.5,26.5,,,8.4,,1009.6,
2024-02-11 00:00:00,27.9,21.4,33.8,0,,,8.8,,1010.3,
2024-02-12 00:00:00,24.6,18.6,34.7,7.1,,,15.8,,1010.3,
2024-02-13 00:00:00,17.4,10,25.2,18,,,10.7,,1022.3,
2024-02-14 00:00:00,19.4,13.2,24.6,0.1,,,11.5,,1021.8,
2024-02-15 00:00:00,22.6,17.4,27,0,,,14,,1018.5,
2024-02-16 00:00:00,23.9,18.8,28.4,0,,,14.9,,1016.4,
2024-02-17 00:00:00,25.7,23,29.4,0,,,16.2,,1014.4,
2024-02-18 00:00:00,25.3,21.8,30,1.7,,,9.5,,1014,
2024-02-19 00:00:00,24.3,18.6,30.1,0,,,10.1,,1012.6,
2024-02-20 00:00:00,24.9,18.5,30.7,0.2,,,10.1,,1011.1,
